label,id_1,id_2,text_1,text_2,deberta-v3-large_score,deberta-v3-large_pred,stsb-deberta-v3-large_score,stsb-deberta-v3-large_pred,stsb-roberta-large_score,stsb-roberta-large_pred,final_pred
0,2691686,2691676,The bank's shares fell 45 cents in trading yesterday to $91.51 per share.,"Shares of M&T, which is based in Buffalo, fell 41 cents, to $91.51.",0.9982962,1,0.9985085,1,0.99152875,1,1
0,2902077,2902028,"Russian stocks fell after the arrest last Saturday of Mikhail Khodorkovsky, chief executive of Yukos Oil, on charges of fraud and tax evasion.","The weekend arrest of Russia's richest man, Mikhail Khodorkovsky, chief executive of oil major YUKOS, on charges of fraud and tax evasion unnerved financial markets.",0.9997036,1,0.9996661,1,0.9996816,1,1
0,759485,759469,"Critics say the law violates civil liberties, something House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to.","House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to civil liberties complaints.",0.99948275,1,0.9995351,1,0.9487317,1,1
0,2455734,2455654,"Joe Kernan, who had been lieutenant governor for the past seven years, was sworn in as governor after O'Bannon died Saturday.","Kernan, who was O'Bannon's lieutenant governor, friend and political partner, was sworn in six hours after O'Bannon died Saturday.",0.99943346,1,0.9993462,1,0.97498703,1,1
0,547116,547045,Young has 28 days to file a response and ask the NASD for a hearing.,"Under NASD regulations, Mr. Young can file a response and request a hearing before an NASD panel.",0.9997009,1,0.9996013,1,0.999666,1,1
0,27662,27632,"Apple Computer's new online music service sold more than 1 million songs during its first week of operation, the company said Monday.",Apple Computer Inc. said Monday it exceeded record industry expectations by selling more than 1 million songs since the launch of its online music store a week ago.,0.99818903,1,0.99843067,1,0.557664,1,1
0,1836337,1836371,"He presented the map at last week's Sixth International Conference on Mars in Pasadena, Calif.","Feldman presented the most recent findings and the new map Friday at the sixth International Conference on Mars in Pasadena, Calif.",0.99911374,1,0.67120624,1,0.9992119,1,1
0,191147,190926,"Lacy's last column, filed from the hospital, appeared in Friday's editions.",Lacy's last column appeared in Friday's edition of The Afro.,0.9992962,1,0.98005074,1,0.84269327,1,1
0,130088,130000,It closed Tuesday at its highest level since last June.,"On Tuesday, the S&P 500 rose to its highest since early December.",0.9994342,1,0.99943703,1,0.99172735,1,1
0,3256831,3256720,Prosecutors did an about-face in May and asked that the autopsy reports be unsealed after portions of Conner Peterson's autopsy report favorable to the defense were leaked to the media.,They asked that the autopsy reports be unsealed after portions of the autopsy report on Peterson's unborn son that were favorable to the defense were leaked to the media.,0.99145657,1,0.9994777,1,0.9996074,1,1
0,1757283,1757308,"So far, they have searched Pennsylvania, Ohio, Michigan, Illinois and Indiana, authorities in those state said.","So far, authorities also have searched areas in Pennsylvania, Ohio, Indiana, and Michigan.",0.9990427,1,0.99956685,1,0.99957067,1,1
0,1808889,1808862,"Besides battling its sales slump, Siebel also has been sparring with some investors upset about huge stock option windfalls company managers have pocketed.","Besides a sales slump, Siebel is sparring with some shareholders over management stock option windfalls.",0.9997129,1,0.9996158,1,0.99968886,1,1
0,3285323,3285347,"Aventis, based in Strasbourg, France, is one of a handful of companies that still make the flu vaccine.","Aventis, based in Strasbourg, France, is one of the leading producers of the vaccine and one of a handful of companies that still make it.",0.9995869,1,0.9996873,1,0.9990683,1,1
0,1390382,1390347,"The impact of these shortages, U.S. Energy Secretary Spencer Abraham warned yesterday, ""will touch virtually every American.""","The U.S. administration cranked up concerns of impending natural gas shortages yesterday, a supply crunch that officials said ""will touch virtually every American.""",0.7101102,1,0.99952865,1,0.99877125,1,1
0,1007185,1007100,"New Line Cinema's prequel comedy, ""Dumb and Dumberer: When Harry Met Lloyd"" opened with $11.1 million.","The idiot-buddy prequel Dumb And Dumberer: When Harry Met Lloyd debuted at No. 6, with $11.1 million.",0.9980063,1,0.99508107,1,0.99894875,1,1
0,163731,163980,China's Health Ministry said five more people had died of Sars and a further 159 were infected.,"On Monday, China said nine more people had died from SARS and that 160 more were infected with the virus.",0.9997222,1,0.99939954,1,0.9995938,1,1
0,2620044,2620063,"Police believe Wilson shot Reynolds, then her mother once in the head before fatally turning the gun on herself.",Police believe Wilson then shot Jennie Mae Robinson once in the head before turning the gun on herself.,0.99966204,1,0.9996669,1,0.99967444,1,1
0,4142,4083,"The body of one of the four teens, 17-year-old Max Guarino, was found April 25 in Long Island Sound.","Max Guarino, 17, was found April 25 in the water off City Island.",0.99968123,1,0.9994955,1,0.99958533,1,1
0,1953302,1953417,The biggest cut ordered was for Hanover Lloyds Insurance Co. -- 31 percent.,The department ordered Hanover Insurance to cut its rates by 31 percent.,0.99939394,1,0.9994815,1,0.99943656,1,1
0,3102255,3102709,Prosecutors maintained that Durst murdered Black to try to assume Black's identity.,Prosecutors called Durst a cold-blooded killer who shot Black to steal his identity.,0.999726,1,0.99966586,1,0.99967587,1,1
0,2788684,2788896,But they don’t realize that until it’s too late (of course) because they’re potential victims in a horror movie.,But they don't realize that until it's too late (of course) because they're potential victims.,0.9997466,1,0.9996524,1,0.99967,1,1
0,3087072,3087103,"The highest-paid Washington private-college president is Susan Resneck Pierce, who heads the University of Puget Sound.","The highest-paid private-college president in Washington is University of Puget Sound President Susan Resneck Pierce at $314,160, the Chronicle said.",0.91806704,1,0.9979791,1,0.9801471,1,1
0,171555,171801,"On May 1, he crawled through a narrow, winding canyon, rappelled down a 60-foot cliff and walked some six miles down the canyon.","He crawled through a narrow, winding canyon, rappelled down a 60-foot cliff, and walked some six miles down the canyon near Canyonlands National Park in southeastern Utah.",0.9994066,1,0.9985241,1,0.99923694,1,1
0,3122257,3122360,"In a mixture of ancient pagan and modern Christian rites, the villagers have staged a series of ceremonies hoping to erase the misfortunes they believe have kept them poor.",In a mixture of ancient Melanesian pagan and modern Christian ceremonies the people tried again to erase the misfortunes they believe have kept them poor since that long-ago meal.,0.9994356,1,0.94846517,1,0.99950206,1,1
0,14510,14656,"The index, which measures activity in the service sector, climbed to 50.7 last month from 47.9 in March.","The Arizona-based ISM reported Monday that its non-manufacturing index rose to 50.7 last month, from 47.9 in March.",0.99959725,1,0.99934524,1,0.9981552,1,1
0,2821916,2821902,"""We are keeping an open mind,"" said Sergeant Magee.",Detective Sergeant Bernie Magee said police were keeping an open mind on the disappearance.,0.999624,1,0.95084184,1,0.99965656,1,1
0,1353184,1353144,"The conference, sponsored by the U.S. Department of Agriculture, is focused on eliminating world hunger through genetically modified foods and other technologies.",The conference was sponsored by the U.S. Department of Agriculture to discuss ways to end world hunger and poverty.,0.9963535,1,0.99952185,1,0.96365863,1,1
0,970568,971233,"Stanford (46-15) plays South Carolina (44-20) today in a first-round game at Rosenblatt Stadium in Omaha, Neb.",Stanford (46-15) plays South Carolina (44-20) on Friday in the opening game of the double-elimination tournament.,0.9997086,1,0.99912316,1,0.9906956,1,1
0,1114039,1114186,"Hispanics, the fastest growing ethnic group in the US, have overtaken blacks to become the largest minority in the US, according to newly released government figures.","Hispanics have officially overtaken African Americans as the largest minority group in the US, according to a report released by the US Census Bureau.",0.99972326,1,0.9996088,1,0.9964741,1,1
0,53868,53892,Canadian officials have agreed to run a complementary threat response exercise.,Canadian officials will participate through a command post exercise.,0.9994997,1,0.9992411,1,0.99928015,1,1
0,3323324,3323339,A Chinese court yesterday jailed two people for life and imprisoned 12 others for organising a sex party involving hundreds of Japanese tourists.,A court in southern China yesterday jailed two people for life for organising a three-day sexual romp with hundreds of prostitutes by visiting employees of a Japanese company.,0.98341215,1,0.9769011,1,0.99927956,1,1
0,46041,45722,"""I had no direct interest and Craxi begged me to intervene because he believed the operation damaged the state,"" he told a packed courtroom during a 45-minute address.","""I had no direct interest, and Craxi begged me to intervene because he believed that the operation damaged the state,"" Mr. Berlusconi said.",0.99973387,1,0.9995617,1,0.999663,1,1
0,635287,635027,"Air Canada, the largest airline in Canada and No. 11 in the world, has been under court protection from creditors since April 1.","The No. 11 airline in the world, Air Canada has been under court protection from creditors since April 1.",0.9997129,1,0.99968445,1,0.99935454,1,1
0,477190,477267,"It seemed like an isolated incident,"" said Ariel Dean of Washington D.C., who earned a degree in political science.","It seemed like an isolated incident,'' said graduate Ariel Dean of Washington, D.C.",0.9997441,1,0.9996779,1,0.9993326,1,1
0,1084871,1085208,Veteran stage and screen actor Hume Cronyn died of cancer Sunday.,"Character actor Hume Cronyn, 91, died Sunday at his home in Connecticut.",0.998706,1,0.9944174,1,0.9790645,1,1
0,1669438,1669602,"Several thousand 3rd Infantry troops, including the 3rd Brigade Combat Team based at Fort Benning in Columbus, began returning last week.","A few thousand troops, most from the division's 3rd Brigade Combat Team based at Fort Benning in Columbus, began returning last week, with flights continuing through Friday.",0.99431723,1,0.99963045,1,0.99966943,1,1
0,2224728,2224687,"A 32-count indictment ""strikes at one of the very top targets in the drug trafficking world,"" U.S. Attorney Marcos Jimenez said.","The newly unsealed 32-count indictment alleges money laundering and conspiracy and ""strikes at one of the very top targets in the drug-trafficking world,"" Jiménez said.",0.99964476,1,0.9996176,1,0.99948126,1,1
0,3253618,3253747,The delay comes on the heels of Boeing Chairman Phil Condit's resignation Monday.,"On Monday, it also announced the resignation of Chairman and Chief Executive Officer Phil Condit.",0.999353,1,0.9989491,1,0.99901915,1,1
